round,institute,program,quota,category,opening_rank,closing_rank
Round 1,Jld Engineering and Management College,Computer Science & Engineering,All India,Open,905039,905039
Round 1,Mckv Institute of Engineering,Computer Science & Engineering,Home State,EWS,39765,58640
Round 1,Meghnad Saha Institute of Technology,Computer Science & Engineering,All India,Open,57297,210524
Round 1,Murshidabad College of Engineering & Technology,Computer Science & Engineering,All India,Open,234938,445794
Round 1,Techno International New Town,Computer Science & Engineering,Home State,EWS,43964,99911
Round 1,Future Institute of Engineering & Management,Computer Science & Engineering,Home State,EWS,68294,75557
Round 1,Gargi Memorial Institute of Technology,Computer Science & Engineering,All India,Open,309593,1285644
Round 1,Govt. College of Engineering & Textile Technology,Computer Science & Engineering,Home State,Open,2211,5165
Round 1,Camellia Institute of Technology & Management,Computer Science & Engineering,Home State,OBC - B,48177,48177
Round 1,Bengal College of Engineering & Technology,Computer Science & Engineering,All India,Open,8540,91633
Round 1,Academy of Technology,Computer Science & Engineering,All India,Open,25847,45106
Round 1,Bengal College of Engineering & Technology,Computer Science & Engineering,Home State,EWS,92238,92238
Round 1,Calcutta Institute of Technology,Computer Science & Engineering,All India,Open,5219,58715
Round 1,Dr. B. C. Roy Engineering College,Computer Science & Engineering,All India,Open,104881,199997
Round 1,Future Institute of Technology,Computer Science & Engineering,All India,Open,34493,76591
Round 1,Techno India University,Computer Science & Engineering,All India,Open,3756,18777
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering,Home State,Open,4584,7505
Round 1,Goverment College of Engineering and Leather Technology,Computer Science & Engineering,Home State,OBC - A,7373,9462
Round 1,Govt. College of Engg. & Textile Technology,Computer Science & Engineering,Home State,OBC - B,6673,7021
Round 1,Govt. College of Engineering & Ceramic Technology,Computer Science & Engineering,Home State,EWS,3538,4368
Round 1,Govt. College of Engineering & Ceramic Technology,Computer Science & Engineering,Home State,ST,29107,31375
Round 1,Jadavpur University,Computer Science & Engineering,Home State,ST,4612,9548
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering,Home State,EWS,2872,5954
Round 1,Netaji Subhas Engineering College,Computer Science & Engineering,All India,Open,2172,14339
Round 1,Heritage Institute of Technology,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,3841,4152
Round 1,Seacom Engineering College,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,35799,35799
Round 1,Sister Nivedita University,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,15385,25338
Round 1,Haldia Institute of Technology,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,6259,9777
Round 1,Bengal College of Engineering & Technology,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,31532,31733
Round 1,Kaji Nazrul University,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,10427,10427
Round 1,Dr. B. C. Roy Engineering College,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,18182,18906
Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex,Computer Science & Engineering (Data Science) ,Home State,Tuition Fee Waiver,29062,30535
Round 1,Sister Nivedita University,CLOUD COMPUTING,All India,Open,280891,1162372
Round 1,Sister Nivedita University,CLOUD COMPUTING,All India,Open,29709,79613
Round 1,Rcc Institute of Information Technology,Computer Science & Engineering,All India,Open,80332,168598
Round 1,Rcc Institute of Information Technology,Computer Science & Engineering,Home State,ST,82189,104826
Round 1,Techno International Batanagar,Computer Science & Engineering,All India,Open,21565,108879
Round 1,Hooghly Engineering & Technology College,Computer Science & Engineering,All India,Open,8140,76072
Round 1,Murshidabad College of Engineering & Technology,Computer Science & Engineering,Home State,OBC - A,69638,110567
Round 1,Siliguri Institute of Technology,Computer Science & Engineering,All India,Open,40964,352068
Round 1,Imps College of Engineering & Technology,Computer Science & Engineering,All India,Open,601647,1262954
Round 1,Institute of Science and Technology,Computer Science & Engineering,All India,Open,144295,432326
Round 1,Jis College of Engineering,Computer Science & Engineering,Home State,ST,70775,98717
Round 1,St. Thomas College of Engineering & Technology,Computer Science & Engineering,All India,Open,75739,187174
Round 1,Jis University,Computer Science & Engineering,Home State,OBC - B,63043,63043
Round 1,Jadavpur University,Computer Science & Engineering,Home State,SC,164,671
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering,All India,Open,519,2619
